ID,Label
3A6QU9xcFRPRjlyaTUyZFd3Q3YydlpMXzU5WkViTWU3SU43YlM5SVZ0YnVuX1hTQzV3TlBRU3FvZ3hqcDJXQ3hoVGpVb3JSYjJrRUNIcFh4VFRvSi01NF9n , 0 
Z3A6QU9xcFRPR2tRYk8weWRlcHk4WU9SWlNadjV5UmIyZmk3azlWYW5fVVZWSzMxUEhPWmRBYzlmeDVkZmdSSVE5STROOHl6WGtJS090eWs3WU9SNXlnSFE , 0 
3A6QU9xcFRPSHVCRW0wTXFkQkpGZmhYVTk3bFdQOV9DOHd2MW9ZYlk4OUxfMzFvV1BnTWY1eFZoaTRFVnh6R0tFRmlrLU1DQU4zVTh6N09YdHM0U2RtVXJV , 0 
Z3A6QU9xcFRPSG5SZFVxNmpLWEJPMlgtbDg2czJoeGJpdVY3aTlOQzJ3czBMTjdiSFVDeGlXU3ZaVEVnTUplUnp0S0JSeGNZRkIxdVB2ckVvb1BlMTAtNGc , 0 
Z3A6QU9xcFRPRmY4MTlLSXphZ3VZbXVzTDM1LTFCVnNmQ2RKZGVydHlMUHJ5NUNrWjJaR0ViLWM0UGFSNjVGTmYzdlkzSWJXSWtWelV6S2Z4N2dRTjd3cnc , 1 
3A6QU9xcFRPR21TU2w5TlhyX3ZyelVGREM2R2hweWdhMFhuaDVYb1RobGtzZnMwUldSejlTTG5QWUFoYkZOeVJNMkkxRWdwWDVTUTdQODZFWGg0bnlOWVY4 , 0 
3A6QU9xcFRPSEt2NzB3R2dBTFJvYXQzMzV1bXRVM01CV0lnSGlHVkVXVDZwYXoyU0lvdW45OWdnNUhOMF9ZRjRjbkxCeVk4cXRvZ1V3VmVXdUZ3RC1PTzVB , 0 
Id=Z3A6QU9xcFRPRkJlUnFtLUwtUDFNVXQ5Ty1kSkJsUmdPekF6OEx1dlBEcEFYQjBVSVpRTURyS3RmTWpSeldRZ2VVaGJLT3Z2cThaWDhoaHAydG8yMnNS , 0 
3A6QU9xcFRPR1RQeHNUYlpwaU02alhRZU9hLXRsUXJ0QmlUeWZ4Rkh1NS1OWVBZcUVocC00ZklqeWQ4RFhyU3F0cjByNGhad0gwUWtTQTM5RGdGUFFMaEhr , 1 
3A6QU9xcFRPRnNWcDBjVndOU0dpU1NrUmNMeHNJcGNuZkQ0cGJqYVY3WEdKN2tqcktfYkNVVHlRZC1rM01qSTdpYXplbEZkT1ZfdkpNV3ZJeVdQemZ2aHI0 , 1 
3A6QU9xcFRPRjVKMlBud2dfdlI0eWpxWVo3YTRKYWNxMnpQY2ttdHRNbzc0TW5ONENBRWV1Y3FjX2lwM3RCQzJJTjdROWVSZjhxVEwwM3pUc3FGbm9NVVRB , 0 
3A6QU9xcFRPRmdnYXVnejFDU0JHTXVuQU5ZLUY0THM0NHZmX2lwZkdZMXJZZnZOYTAwYThCcUpCRENPcDhBMVZGeXBVOXNVdDlwRjdKenc0MFBlbnNFWlVr , 0 
Z3A6QU9xcFRPR0FVQ2ZJODJrdjdYQTVDWHJfTzlYdnBIRXJyWURBY2ZHSjdhaFNpRnY3aHdqTjVPUGx2ekpsYjl4NTN1QjAzeVVlU2RRMHZJMFhSRldoc3c , 1 
3A6QU9xcFRPRzVkOFEzSC1XS3RBRmphdGoxbTV5d1ZpZW5tQ1RBdFlYUXl1dFNNT1Izb29jOXZzM214OWpEWEN4Ymw3cmJoOVl6UDhiRzBWNzY3UW9LRFRJ , 1 
Z3A6QU9xcFRPRW1GVlY3YUxfSU8yY3BXRktvdFMxblpxcXpReGt2YUliX0J0aXlTNHV0aVJRcmhjQ0ZkXzRfZVNHQkVveENLeHNCVzE1eW5YTmR4T28wMHc , 1 
3A6QU9xcFRPRUJkVlZXYzBVMGh1V1FrbUEtM0hUSWw2ejRiWmtjcVJuRS1kWVNBSWFJYWU3RXZ5MzhOOFRjeEMzVVVuTFNDbjdSaElnM2lYdmNiUjZOdV9n , 0 
3A6QU9xcFRPSHg5R29aVXFzSGE5d0gwVDNBdXJzZXRadGFpb1FLZi1nOVhjUUk0UUQwVHpPaVE4ajJnbk5ZU2lpallEX0JRdHFneEpPTHZvaDBVVEhHOGRZ , 0 
Z3A6QU9xcFRPR3NKX3d6TFZQZzAxV2k3RFBrN1hvc2Z3b3RNWXRSTXV0N0pFUVBzN3g5Y3RaWU9DWUhYNlFlSXBWOWpNenozZUVxWmtnU0NOb3hFZGdL , 0 
Z3A6QU9xcFRPRjRVWTJPRU5yaU9pTDhzNm9MY3pUVlB6LTM5RVl2X2FFcG1iX1dPWmZmcTQ5TE9JWHBGejhIN3pOcVlXVVpPM3M5ZEFXVHBiOWI4a2hCeVE , 0 
